EmployeeNo,Ename,Job,Mgr,Hiredate,Salary,Commission,DepartmentNo
7369,SMITH,CLERK,7902,2021-12-17,800.00,NULL,20
7499,ALLEN,SALESMAN,7698,2021-02-20,1600.00,300.00,30
7521,WARD,SALESMAN,7698,2022-02-22,1250.00,500.00,30
7566,JONES,MANAGER,7839,2022-04-02,2975.00,NULL,20
7654,MARTIN,SALESMAN,7698,2022-09-28,1250.00,1400.00,30
7698,BLAKE,MANAGER,7839,2021-05-01,2850.00,NULL,30
7782,CLARK,MANAGER,7839,2023-09-09,1250.00,NULL,10
7788,SCOTT,ANALYST,7566,2023-04-19,3000.00,NULL,20
7839,KING,PRESIDENT,NULL,2023-11-17,5000.00,NULL,10
7844,TURNER,SALESMAN,7698,2021-09-08,1500.00,0.00,30
7876,ADAMS,CLERK,7788,2022-05-23,1100.00,NULL,20
7900,JAMES,CLERK,7698,2023-12-03,950.00,NULL,30
7902,FORD,ANALYST,7566,2023-12-03,3000.00,NULL,20
7934,MILLER,CLERK,7782,2023-01-23,1300.00,NULL,10
101,Bhaskar,SALESMAN,7698,2024-03-07,2000.00,500.00,80
